ab_name,ab_itemid
VANCOMYCIN,90015
NITROFURANTOIN,90010
PENICILLIN G,90003
LEVOFLOXACIN,90025
PIPERACILLIN/TAZO,90026
ERYTHROMYCIN,90006
OXACILLIN,90016
AMIKACIN,90014
CEFTRIAXONE,90018
TRIMETHOPRIM/SULFA,90008
PIPERACILLIN,90021
CIPROFLOXACIN,90019
MEROPENEM,90029
CEFEPIME,90028
CLINDAMYCIN,90007
RIFAMPIN,90027
AMPICILLIN/SULBACTAM,90022
TETRACYCLINE,90011
AMPICILLIN,90004
CEFTAZIDIME,90017
CEFAZOLIN,90005
CEFUROXIME,90023
IMIPENEM,90020
DAPTOMYCIN,90030
TOBRAMYCIN,90013
GENTAMICIN,90012
LINEZOLID,90031