org_name,org_itemid
ENTEROCOCCUS SP.,80053
ESCHERICHIA COLI,80002
ENTEROCOCCUS FAECIUM,80168
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",80155
STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP,80235
STAPH AUREUS COAG +,80023
KLEBSIELLA PNEUMONIAE,80004
CITROBACTER FREUNDII COMPLEX,80248
BETA STREPTOCOCCUS GROUP B,80045
CUPRIAVIDUS PAUCULUS,90861
BETA STREPTOCOCCUS GROUP G,80047
VIRIDANS STREPTOCOCCI,80280
STREPTOCOCCUS SPECIES,80207
ABIOTROPHIA/GRANULICATELLA SPECIES,80303
STAPHYLOCOCCUS LUGDUNENSIS,80162
GRAM NEGATIVE ROD(S),80058
STREPTOCOCCUS PNEUMONIAE,80076
ENTEROBACTER CLOACAE COMPLEX,90763
STAPHYLOCOCCUS EPIDERMIDIS,80024
ENTEROBACTER CLOACAE,80008
PSEUDOMONAS AERUGINOSA,80026
BETA STREPTOCOCCUS GROUP A,80054
ACHROMOBACTER SPECIES,90778
STAPHYLOCOCCUS SIMULANS,90626
PROTEUS MIRABILIS,80017
STREPTOCOCCUS MITIS/ORALIS,90747
PROTEUS VULGARIS,80016
NUTRITIONALLY VARIANT STREPTOCOCCUS,80119
PANTOEA (ENTEROBACTER) AGGLOMERANS,80266
ENTEROBACTER ASBURIAE,80164
SERRATIA MARCESCENS,80014
STAPHYLOCOCCUS CAPRAE,90743
ACINETOBACTER BAUMANNII COMPLEX,80304
ENTEROBACTER AEROGENES,80007
STREPTOCOCCUS MITIS,80049
STREPTOCOCCUS GALLOLYTICUS SSP. GALLOLYTICUS (STREPTOCOCCUS BOVIS),90776
ENTEROCOCCUS CASSELIFLAVUS,80204
ACINETOBACTER LWOFFII,90287
STREPTOCOCCUS INTERMEDIUS,90355
STAPHYLOCOCCUS WARNERI,90746
CORYNEBACTERIUM SPECIES (DIPHTHEROIDS),80085
PRESUMPTIVE STREPTOCOCCUS BOVIS,80229
POSITIVE FOR GROUP B BETA STREPTOCOCCI,80222
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,80293
STAPHYLOCOCCUS HOMINIS,90744
STAPHYLOCOCCUS SCIURI,90544
STREPTOCOCCUS GORDONII,90830
BETA STREPTOCOCCUS GROUP C,80046
"NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA",80225
OCHROBACTRUM INTERMEDIUM,90771
STREPTOCOCCUS SANGUINIS,90824
STREPTOCOCCUS SALIVARIUS SSP. SALIVARIUS,90870
STREPTOCOCCUS BOVIS ,80050
STENOTROPHOMONAS MALTOPHILIA,80087
ALCALIGENES XYLOSOXIDANS,80252
AEROCOCCUS URINAE,90812
STAPHYLOCOCCUS WARNERI/PASTEURI,90758
OCHROBACTRUM SPECIES,90767
GEMELLA SPECIES,80298
LISTERIA MONOCYTOGENES,80091
RHIZOBIUM RADIOBACTER,90750
CHRYSEOBACTERIUM INDOLOGENES,90709
STAPHYLOCOCCUS CAPITIS,90742
ACHROMOBACTER SP.,90807
HAFNIA ALVEI,80009
STREPTOCOCCUS GALLOLYTICUS SSP. PASTEURIANUS (STREPTOCOCCUS BOVIS),90755
STREPTOCOCCUS VESTIBULARIS,80272
ACINETOBACTER SP.,80216
STREPTOCOCCUS INFANTARIUS SSP. COLI (STR. LUTETIENSIS),90872
SALMONELLA SPECIES,80196
PSEUDOMONAS FLUORESCENS,90530
CITROBACTER KOSERI,80201
STREPTOCOCCUS ANGINOSUS,80171
STREPTOCOCCUS MUTANS,90350
STREPTOCOCCUS BOVIS GROUP,90783
STAPHYLOCOCCUS AURICULARIS,90826
ENTEROCOCCUS AVIUM,80111
AEROMONAS HYDROPHILA,80032
STAPHYLOCOCCUS CAPRAE/CAPITIS,90681
STAPHYLOCOCCUS HAEMOLYTICUS,90679
ENTEROCOCCUS FAECALIS,80172
ACINETOBACTER BAUMANNII,80194
PSEUDOMONAS PUTIDA ,80027
AGROBACTERIUM RADIOBACTER,90457
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SS DENTRIFICANS,80284
BACILLUS SPECIES; NOT ANTHRACIS,80281
KLEBSIELLA OXYTOCA,80005
GRAM NEGATIVE ROD #2,80071
STREPTOCOCCUS ORALIS,80271
GRAM POSITIVE RODS,80056
LACTOBACILLUS SPECIES,80088
STREPTOCOCCUS PARASANGUINIS,90836
STREPTOCOCCUS SALIVARIUS,80118
ROSEOMONAS SPECIES,90757
GRAM POSITIVE COCCUS(COCCI),80055
OCHROBACTRUM ANTHROPI,80182
HERBASPIRILLUM SPECIES,90756
GEMELLA BERGERI,90844
STREPTOCOCCUS INFANTARIUS SSP. INFANTARIUS (STREPTOCOCCUS BOVIS),90799
PSEUDOMONAS MENDOCINA,90784
PANTOEA SPECIES,80302
ENTEROCOCCUS GALLINARUM,80184
SALMONELLA ENTERITIDIS,80022
STREPTOCOCCUS SALIVARUS,90749
SALMONELLA TYPHI,90283
SPHINGOMONAS PAUCIMOBILIS,90292
ENTEROCOCCUS RAFFINOSUS,90518
ENTEROBACTERIACEAE,80218
AEROMONAS HYDROPHILA COMPLEX,90711
ALCALIGENES FAECALIS,90472
MORGANELLA MORGANII,80018
"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE",80192
ELIZABETHKINGIA (CHRYSEOBACTERIUM) MENIGOSEPTICA,90738
ACHROMOBACTER (ALCALIGENES) DENTRIFICANS,90487
SERRATIA LIQUEFACIENS,80013
ALCALIGENES SPECIES,90737
SALMONELLA SANDIEGO,90623
AEROCOCCUS VIRIDANS,80092
SALMONELLA DUBLIN,90430
ENTEROBACTER AMNIGENUS 2 ,90452
STREPTOCCUS SALIVARIUS GROUP,90787
BURKHOLDERIA CEPACIA,80028
BURKHOLDERIA XENOVORANS,90730
SPHINGOMONAS SPECIES,90656
LACTOBACILLUS SALIVARIUS SS. SALIVARIUS,90466
STAPHYLOCOCCUS INTERMEDIUS,90511
STREPTOCOCCUS INFANTARIUS SSP. COLI (STREPTOCOCCUS BOVIS),90748
BACILLUS SUBTILIS ,80160
AEROCOCCUS SPECIES,90718
PLESIOMONAS SHIGELLOIDES,90294
SHEWANELLA SPECIES,80290
STREPTOCOCCUS MITIS GROUP,90786
GEMELLA MORBILLORUM,80183
GAMMA(I.E. NON-HEMOLYTIC) STREPTOCOCCUS,80089
PROPIONIBACTERIUM ACNES,80108
PRESUMPTIVE PEPTOSTREPTOCOCCUS SPECIES,80233
SHIGELLA FLEXNERI,80021
SHIGELLA SONNEI,90280
SALMONELLA TYPHIMURIUM,90399
SHIGELLA BOYDII,90279
LECLERCIA ADECARBOXYLATA,90456
PSEUDOMONAS SPECIES,80029
RAOULTELLA PLANTICOLA,90815
PSEUDOMONAS LUTEOLA,80305
STREPTOCOCCUS MILLERI GROUP,80279
PROBABLE MICROCOCCUS SPECIES,80241
HAEMOPHILUS PARAINFLUENZAE,80043
KOCURIA KRISTINAE,90848
SALMONELLA TELELKEBIR,90669
PEDIOCOCCUS SPECIES,80189
KLUYVERA SPECIES,80122
CORYNEBACTERIUM STRIATUM,80156
CITROBACTER AMALONATICUS,80025
SERRATIA SPECIES,80090
CRONOBACTER (ENTEROBACTER) SAKAZAKII,80012
STAPHYLOCOCCUS PSEUDINTERMEDIUS,90809
AEROMONAS SPECIES,80195
CITROBACTER KOSERI,80151
DELFTIA ACIDOVORANS,90695
STAPHYLOCOCCUS LENTUS,90865
CITROBACTER SPECIES,80098
ENTEROBACTER SPECIES,80113
PSEUDOMONAS STUTZERI,90324
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS,90780
CORYNEBACTERIUM UREALYTICUM SP. NOV.,80193
ESCHERICHIA SPECIES,90559
PROVIDENCIA RETTGERI,80020
PROTEUS VULGARIS GROUP,90683
PROVIDENCIA STUARTII,80019
"STAPHYLOCOCCUS, COAGULASE NEGATIVE, PRESUMPTIVELY NOT S. SAPROPHYTICUS",80262
"STAPHYLOCOCCUS SAPROPHYTICUS, PRESUMPTIVE IDENTIFICATION",80255
PROTEUS PENNERI,90454
KLEBSIELLA SPECIES,80094
ENTEROBACTER GERGOVIAE,80011
SERRATIA ODORIFERA,90331
ENTEROBACTER CANCEROGENUS,90702
RAOULTELLA ORNITHINOLYTICA,90759
SALMONELLA JAVIANA,90464
PROTEUS HAUSERI,90837
ACHROMOBACTER XYLOSOXIDANS,90816
CITROBACTER SEDLAKII,90843
SERRATIA LIQUEFACIENS COMPLEX,90728
PROVIDENCIA SPECIES,80097
PRESUMPTIVE GARDNERELLA VAGINALIS,80295
STAPHYLOCOCCUS SAPROPHYTICUS,90745
SALMONELLA NEWPORT,90415
MYROIDES SPECIES,90712
SERRATIA FONTICOLA,90370
SALMONELLA BRAENDERUP,90448
CORYNEBACTERIUM ACCOLANS (CDC GROUP 6),90606
CORYNEBCATERIUM AMYCOLATUM,80221
SERRATIA RUBIDAEA,80015
PSEUDOMONAS ORYZIHABITANS,90705
BORDETELLA BRONCHISEPTICA,80030
BURKHOLDERIA GLADIOLI,90571
GRAM NEGATIVE ROD #1,80070
PSEUDOMONAS PUTIDA/FLUORESCENS,80312
ACHROMOBACTER  DENTRIFICANS,90779
MORAXELLA CATARRHALIS,80289
BURKHOLDERIA CEPACIA GROUP,80294
NOCARDIA CYRIACIGEORGICA,90863
YEAST,80075
TRICHOSPORON MUCOIDES,90667
TRICHOPHYTON SPECIES,80165
,
PROPIONIBACTERIUM SPECIES,80115
VIRUS,80175
"YEAST, PRESUMPTIVELY NOT C. ALBICANS",80253
HERPES SIMPLEX VIRUS TYPE 2,80145
S. AUREUS POSITIVE; MRSA NEGATIVE,90849
HERPES SIMPLEX VIRUS TYPE 1,80144
POSITIVE FOR PNEUMOCYSTIS JIROVECII (CARINII),80300
ADENOVIRUS,80146
POSITIVE FOR HERPES SIMPLEX TYPE 1 (HSV1),80310
POSITIVE,90855
CANDIDA ALBICANS,80060
PENICILLIUM SPECIES,80064
POSITIVE FOR PARAINFLUENZA TYPE 1,90721
CANCELLED,90760
"BETA STREPTOCOCCI, NOT GROUP A",80213
POSITIVE FOR INFLUENZA A VIRAL ANTIGEN,80230
CLOSTRIDIUM DIFFICILE,80139
ASPERGILLUS FUMIGATUS,80066
POSITIVE FOR PARAINFLUENZA TYPE 3,90723
POSITIVE FOR RESPIRATORY SYNCYTIAL VIRUS (RSV),90725
CRYPTOSPORIDIUM PARVUM OOCYSTS SEEN,80267
POSITIVE FOR M. TUBERCULOSIS BY MTD,80259
POSITIVE FOR INFLUENZA B VIRAL ANTIGEN,80257
CAPNOCYTOPHAGA SPECIES,80210
RESPIRATORY SYNCYTIAL VIRUS (RSV),80177
POSITIVE FOR VARICELLA ZOSTER,80309
CANDIDA GLABRATA,80228
POSITIVE FOR CYTOMEGALOVIRUS,80308
NEGATIVE,90856
PREVOTELLA SPECIES,80244
ALTERNARIA SP.,90443
FUSARIUM SPECIES,80116
NEISSERIA SPECIES,80042
MIXED BACTERIAL FLORA,90785
"NEISSERIA SPECIES, NOT GONORRHOEAE",80292
ASPERGILLUS NIGER,80062
GIARDIA LAMBLIA SEEN,90644
"CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION",80254
YERSINIA ENTEROCOLITICA,90276
"ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER",80239
CANDIDA KRUSEI,80101
PRESUMPTIVE VEILLONELLA SPECIES,80232
CANDIDA SPECIES,80059
POSITIVE FOR CRYPTOCOCCAL ANTIGEN,90819
VARICELLA-ZOSTER VIRUS,80176
POSITIVE FOR ADENOVIRUS,90724
RHINOVIRUS,80206
ESCHERICHIA COLI O157:H7,90536
CYTOMEGALOVIRUS ,80143
S. AUREUS POSITIVE; MRSA POSITIVE,90840
MOLD,80163
CANDIDA PARAPSILOSIS,80099
BACILLUS SPECIES,80082
POSITIVE FOR HERPES SIMPLEX TYPE 2 (HSV2),80311
PRESUMPTIVE PROPIONIBACTERIUM ACNES,80234
CLOSTRIDIUM SEPTICUM,80129
PHOMA SPECIES,90660
ANAEROBIC GRAM POSITIVE COCCUS(I),80078
CANDIDA DUBLINIENSIS,80270
POSITIVE FOR HERPES SIMPLEX (HSV),90727
LEGIONELLA PNEUMOPHILA ,80202
BACTEROIDES FRAGILIS GROUP,80112
PRESUMPTIVE POSITIVE FOR LEGIONELLA SEROGROUP 1 ANTIGEN,90818
AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW,80220
SCOPULARIOPSIS SP.,90380
DEMATIACEOUS MOLD,80278
NEISSERIA MENINGITIDIS,80041
PARAINFLUENZA VIRUS TYPE 2,90526
PARAINFLUENZA VIRUS TYPE 3,80181
GRAM POSITIVE BACTERIA,80081
MYCOBACTERIUM TUBERCULOSIS COMPLEX,80159
ACREMONIUM SPECIES,80157
ASPERGILLUS FUMIGATUS COMPLEX,90834
CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM,80238
MYCELIA STERILIA,80130
MICROSPORIDIUM SPECIES SEEN,80258
NEISSERIA GONORRHOEAE,80040
IXODES SPECIES,90753
TICK CONSISTENT WITH IXODES SPECIES,90620
"LEGIONELLA PNEUMOPHILA, GROUP 1",90431
POSITIVE FOR PARAINFLUENZA TYPE 2,90722
NOCARDIA OTITIDISCAVIARUM (CAVIAE),90557
STAPHYLOCOCCUS SPECIES,80138
ASPERGILLUS TERREUS,90494
PROBABLE ENTEROCOCCUS,80223
CANDIDA TROPICALIS,80106
MICROCOCCUS/STOMATOCOCCUS SPECIES,80306
CHAETOMIUM SPECIES,80200
CLADOSPORIUM SPECIES,80126
INFLUENZA A VIRUS,80178
PINWORM EGG(S) SEEN,90645
ENTEROVIRUS,90574
NOCARDIA NOVA,90566
NOCARDIA ASTEROIDES COMPLEX ,80187
RHIZOPUS SPECIES,80105
STACHYBOTRYS SPP.,80211
ANAEROBIC GRAM NEGATIVE ROD(S),80036
ASPERGILLUS VERSICOLOR GROUP ,80148
PITHOMYCES SP.,80268
PARAINFLUENZA VIRUS TYPE 1,80180
POSITIVE FOR MICROSPORIDIA SPECIES,90634
MYCOBACTERIUM AVIUM COMPLEX,80158
CRYPTOCOCCUS NEOFORMANS,80065
